,City,Country,Latitude,Longitude
0,albany,au,-35.0275298,117.883959
1,menongue,ao,-14.6594083,17.6984879
2,mataura,pf,-23.3470634,-149.4850445
3,kamenka,ru,55.61871499999999,37.484603
4,nanortalik,gl,60.1424955,-45.2394951
5,qaanaaq,gl,77.4670434,-69.2284827
6,ushuaia,ar,-54.8019121,-68.3029511
7,provideniya,ru,64.43272,-173.238567
8,albany,au,-35.0275298,117.883959
9,busselton,au,-33.6554927,115.3500188
10,batagay,ru,67.66251299999999,134.65435
11,hamilton,au,-28.465769,148.1934618
12,belushya guba,ru,71.54555599999999,52.32027799999999
13,lake havasu city,us,34.483901,-114.3224548
14,umm kaddadah,sd,13.60375,26.68413
15,norman wells,ca,65.28149379999999,-126.8286524
16,ponta do sol,cv,17.2004826,-25.0925624
17,ushuaia,ar,-54.8019121,-68.3029511
18,huarmey,pe,-10.0664169,-78.1506824
19,taolanaro,mg,-25.0225309,46.9853688
20,luanda,ao,-8.839987599999999,13.2894368
21,leningradskiy,ru,,
22,qaanaaq,gl,,
23,tsihombe,mg,,
24,fairbanks,us,,
25,belomorsk,ru,,
26,ilulissat,gl,,
27,jamestown,sh,,
28,ushuaia,ar,,
29,kloulklubed,pw,,
30,chuy,uy,,
31,hermanus,za,,
32,taltal,cl,,
33,geraldton,au,,
34,ushuaia,ar,,
35,cape town,za,,
36,isangel,vu,,
37,busselton,au,,
38,sinnamary,gf,,
39,taolanaro,mg,,
40,alta floresta,br,,
41,tawzar,tn,,
42,itarema,br,,
43,marawi,sd,,
44,punta arenas,cl,,
45,jamestown,sh,,
46,butaritari,ki,,
47,jamestown,sh,,
48,bluff,nz,,
49,jamestown,sh,,
50,mar del plata,ar,,
51,attawapiskat,ca,,
52,borovichi,ru,,
53,chokurdakh,ru,,
54,atuona,pf,,
55,hermanus,za,,
56,bambous virieux,mu,,
57,marcona,pe,,
58,port moresby,pg,,
59,belushya guba,ru,,
60,yellowknife,ca,,
61,ushuaia,ar,,
62,azrow,af,,
63,ushuaia,ar,,
64,jamestown,sh,,
65,avarua,ck,,
66,bluff,nz,,
67,belushya guba,ru,,
68,obidos,br,,
69,dikson,ru,,
70,hermanus,za,,
71,lebu,cl,,
72,victoria,sc,,
73,brae,gb,,
74,rikitea,pf,,
75,dinajpur,bd,,
76,punta arenas,cl,,
77,torbay,ca,,
78,kalmunai,lk,,
79,illoqqortoormiut,gl,,
80,castro,cl,,
81,tiksi,ru,,
82,asau,tv,,
83,tezu,in,,
84,hilo,us,,
85,atuona,pf,,
86,ishigaki,jp,,
87,kapaa,us,,
88,dikson,ru,,
89,cape town,za,,
90,puerto ayora,ec,,
91,guerrero negro,mx,,
92,ushuaia,ar,,
93,kashi,cn,,
94,atuona,pf,,
95,kashi,cn,,
96,bathsheba,bb,,
97,karacabey,tr,,
98,bambous virieux,mu,,
99,hilo,us,,
100,talnakh,ru,,
101,bid,in,,
102,taolanaro,mg,,
103,umzimvubu,za,,
104,malindi,ke,,
105,touros,br,,
106,nouakchott,mr,,
107,vestmannaeyjar,is,,
108,bluff,nz,,
109,illoqqortoormiut,gl,,
110,saint-augustin,ca,,
111,brigham city,us,,
112,plettenberg bay,za,,
113,taolanaro,mg,,
114,butaritari,ki,,
115,yellowknife,ca,,
116,hobart,au,,
117,vaitupu,wf,,
118,saumur,fr,,
119,ushuaia,ar,,
120,dikson,ru,,
121,hermanus,za,,
122,zverinogolovskoye,ru,,
123,punta arenas,cl,,
124,kijang,id,,
125,rikitea,pf,,
126,mount gambier,au,,
127,maniitsoq,gl,,
128,hobart,au,,
129,jamestown,sh,,
130,juneau,us,,
131,trelew,ar,,
132,faanui,pf,,
133,busselton,au,,
134,port keats,au,,
135,hilo,us,,
136,hualmay,pe,,
137,barentsburg,sj,,
138,arraial do cabo,br,,
139,touros,br,,
140,roma,au,,
141,acajutla,sv,,
142,jamestown,sh,,
143,necochea,ar,,
144,hasaki,jp,,
145,sistranda,no,,
146,mys shmidta,ru,,
147,mys shmidta,ru,,
148,half moon bay,us,,
149,edmundston,ca,,
150,rikitea,pf,,
151,rikitea,pf,,
152,punta arenas,cl,,
153,port alfred,za,,
154,rikitea,pf,,
155,albany,au,,
156,port blair,in,,
157,esperance,au,,
158,maamba,zm,,
159,mataura,pf,,
160,hirara,jp,,
161,bambous virieux,mu,,
162,albany,au,,
163,tumannyy,ru,,
164,mataura,pf,,
165,nishihara,jp,,
166,ponta do sol,cv,,
167,grand river south east,mu,,
168,rutana,bi,,
169,mataura,pf,,
170,wulanhaote,cn,,
171,bethel,us,,
172,atuona,pf,,
173,mataura,pf,,
174,alugan,ph,,
175,bredasdorp,za,,
176,jamestown,sh,,
177,butaritari,ki,,
178,kruisfontein,za,,
179,inhambane,mz,,
180,hermanus,za,,
181,banda aceh,id,,
182,punta arenas,cl,,
183,georgetown,sh,,
184,kachiry,kz,,
185,irati,br,,
186,khatanga,ru,,
187,tasiilaq,gl,,
188,dujuma,so,,
189,rikitea,pf,,
190,vaini,to,,
191,jamestown,sh,,
192,honiara,sb,,
193,rikitea,pf,,
194,bairiki,ki,,
195,cabo san lucas,mx,,
196,cabanas,cu,,
197,hilo,us,,
198,henzada,mm,,
199,palabuhanratu,id,,
200,attawapiskat,ca,,
201,kuala terengganu,my,,
202,kavieng,pg,,
203,yuancheng,cn,,
204,pointe michel,dm,,
205,mataura,pf,,
206,mogadishu,so,,
207,niteroi,br,,
208,maun,bw,,
209,nizhnevartovsk,ru,,
210,vaitupu,wf,,
211,tabou,ci,,
212,ahuimanu,us,,
213,muroto,jp,,
214,punta arenas,cl,,
215,port hardy,ca,,
216,elat,il,,
217,saskylakh,ru,,
218,mecca,sa,,
219,bethel,us,,
220,lompoc,us,,
221,vaini,to,,
222,punta arenas,cl,,
223,puerto ayora,ec,,
224,acapulco,mx,,
225,provideniya,ru,,
226,saint-francois,gp,,
227,severo-kurilsk,ru,,
228,karlskrona,se,,
229,barrow,us,,
230,manokwari,id,,
231,yellowknife,ca,,
232,busselton,au,,
233,los llanos de aridane,es,,
234,giulianova,it,,
235,cape town,za,,
236,rikitea,pf,,
237,ushuaia,ar,,
238,rikitea,pf,,
239,andenes,no,,
240,albany,au,,
241,hobart,au,,
242,nuuk,gl,,
243,kampong thum,kh,,
244,saldanha,za,,
245,rikitea,pf,,
246,bambous virieux,mu,,
247,dingle,ie,,
248,willowmore,za,,
249,rikitea,pf,,
250,carnarvon,au,,
251,mataura,pf,,
252,salinas,ec,,
253,cape town,za,,
254,namatanai,pg,,
255,rikitea,pf,,
256,rikitea,pf,,
257,norman wells,ca,,
258,port elizabeth,za,,
259,jamestown,sh,,
260,hermanus,za,,
261,new norfolk,au,,
262,kapaa,us,,
263,chokurdakh,ru,,
264,whitehorse,ca,,
265,ostrovnoy,ru,,
266,salalah,om,,
267,vaini,to,,
268,albany,au,,
269,los llanos de aridane,es,,
270,ushuaia,ar,,
271,leon,mx,,
272,rikitea,pf,,
273,velikiy ustyug,ru,,
274,bethel,us,,
275,esperance,au,,
276,saint george,bm,,
277,albany,au,,
278,mar del plata,ar,,
279,avarua,ck,,
280,taolanaro,mg,,
281,warqla,dz,,
282,hilo,us,,
283,jamestown,sh,,
284,cape town,za,,
285,bilma,ne,,
286,la rioja,ar,,
287,albany,au,,
288,saint-philippe,re,,
289,barrow,us,,
290,new norfolk,au,,
291,sao filipe,cv,,
292,albany,au,,
293,saskylakh,ru,,
294,sola,vu,,
295,kuching,my,,
296,oksfjord,no,,
297,kapaa,us,,
298,dzhebariki-khaya,ru,,
299,chaihe,cn,,
300,kapaa,us,,
301,chern,ru,,
302,arlit,ne,,
303,ushuaia,ar,,
304,barrow,us,,
305,rocha,uy,,
306,amderma,ru,,
307,yellowknife,ca,,
308,georgetown,sh,,
309,hobart,au,,
310,carutapera,br,,
311,grootfontein,na,,
312,khatanga,ru,,
313,thompson,ca,,
314,albany,au,,
315,cape town,za,,
316,luderitz,na,,
317,rikitea,pf,,
318,port alfred,za,,
319,mataura,pf,,
320,vaini,to,,
321,jamestown,sh,,
322,pemba,mz,,
323,punta arenas,cl,,
324,rio grande,br,,
325,salisbury,gb,,
326,cap malheureux,mu,,
327,ushuaia,ar,,
328,avera,pf,,
329,taoudenni,ml,,
330,sale,au,,
331,henties bay,na,,
332,yar-sale,ru,,
333,miri,my,,
334,hobart,au,,
335,atuona,pf,,
336,punta arenas,cl,,
337,galgani,sd,,
338,barrow,us,,
339,aquidauana,br,,
340,east london,za,,
341,honiara,sb,,
342,pevek,ru,,
343,taolanaro,mg,,
344,itoman,jp,,
345,lebu,cl,,
346,mahebourg,mu,,
347,yellowknife,ca,,
348,hermanus,za,,
349,mataura,pf,,
350,klaksvik,fo,,
351,mataura,pf,,
352,nanortalik,gl,,
353,busselton,au,,
354,atuona,pf,,
355,thompson,ca,,
356,puerto ayora,ec,,
357,bolungarvik,is,,
358,albany,au,,
359,kudat,my,,
360,dingle,ie,,
361,nizhneyansk,ru,,
362,avarua,ck,,
363,palabuhanratu,id,,
364,tutoia,br,,
365,severo-kurilsk,ru,,
366,jalu,ly,,
367,qaanaaq,gl,,
368,hermanus,za,,
369,urumqi,cn,,
370,albany,au,,
371,ushuaia,ar,,
372,hilo,us,,
373,galesong,id,,
374,rikitea,pf,,
375,ndele,cf,,
376,menongue,ao,,
377,tsihombe,mg,,
378,marcona,pe,,
379,bathsheba,bb,,
380,udachnyy,ru,,
381,hithadhoo,mv,,
382,punta arenas,cl,,
383,hermanus,za,,
384,khilok,ru,,
385,barentsburg,sj,,
386,santa lucia,es,,
387,berlevag,no,,
388,mataura,pf,,
389,bahia blanca,ar,,
390,kruisfontein,za,,
391,bluff,nz,,
392,port alfred,za,,
393,rikitea,pf,,
394,jamestown,sh,,
395,mo i rana,no,,
396,tuktoyaktuk,ca,,
397,hermanus,za,,
398,torbay,ca,,
399,albany,au,,
400,albany,au,,
401,port macquarie,au,,
402,maragogi,br,,
403,mataura,pf,,
404,moose factory,ca,,
405,nouakchott,mr,,
406,east london,za,,
407,jogindarnagar,in,,
408,vaini,to,,
409,punta arenas,cl,,
410,port blair,in,,
411,cockburn town,tc,,
412,bethel,us,,
413,torbay,ca,,
414,tuatapere,nz,,
415,provideniya,ru,,
416,acari,pe,,
417,ilulissat,gl,,
418,albany,au,,
419,rikitea,pf,,
420,dikson,ru,,
421,saint-pierre,pm,,
422,kapaa,us,,
423,hithadhoo,mv,,
424,cockburn town,bs,,
425,saint-philippe,re,,
426,provideniya,ru,,
427,butaritari,ki,,
428,mataura,pf,,
429,krasnogvardeyskiy,ru,,
430,atuona,pf,,
431,luderitz,na,,
432,tuktoyaktuk,ca,,
433,saint-pierre,pm,,
434,ushuaia,ar,,
435,qaanaaq,gl,,
436,morehead,pg,,
437,ketchikan,us,,
438,antropovo,ru,,
439,georgetown,sh,,
440,rikitea,pf,,
441,qaanaaq,gl,,
442,rikitea,pf,,
443,qingquan,cn,,
444,cape town,za,,
445,bandarbeyla,so,,
446,illoqqortoormiut,gl,,
447,ushuaia,ar,,
448,mataura,pf,,
449,hilo,us,,
450,ribeira grande,pt,,
451,vaini,to,,
452,danilovka,ru,,
453,atuona,pf,,
454,necochea,ar,,
455,hay river,ca,,
456,lebu,cl,,
457,upernavik,gl,,
458,bondo,cd,,
459,cape town,za,,
460,san quintin,mx,,
461,bowen,au,,
462,qaanaaq,gl,,
463,guerrero negro,mx,,
464,nanortalik,gl,,
465,barentsburg,sj,,
466,verkhoyansk,ru,,
467,san cristobal,ec,,
468,sola,vu,,
469,rikitea,pf,,
470,tiarei,pf,,
471,ribeira grande,pt,,
472,talnakh,ru,,
473,goderich,sl,,
474,sur,om,,
475,taolanaro,mg,,
476,aykhal,ru,,
477,samusu,ws,,
478,butaritari,ki,,
479,sorland,no,,
480,nishihara,jp,,
481,avarua,ck,,
482,ancud,cl,,
483,portland,au,,
484,east london,za,,
485,lanja,in,,
486,dikson,ru,,
487,ostrovnoy,ru,,
488,barrow,us,,
489,mys shmidta,ru,,
490,hudson bay,ca,,
491,dikson,ru,,
492,husavik,is,,
493,hermanus,za,,
494,busselton,au,,
495,rikitea,pf,,
496,thompson,ca,,
497,rikitea,pf,,
498,agadez,ne,,
499,ushuaia,ar,,
